fecha,tmed,tmax,tmin,prec,velmedia,racha,sol,hrMedia,temp_categoria,humedad_categoria,viento_categoria,lluvia_categoria,sol_categoria,descripcion_dia
2023-01-15,14.2,19.7,8.7,0.0,6.9,14.4,8.3,59.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-16,13.3,16.7,9.9,0.0,10.3,20.6,8.1,54.0,Frío,Húmedo,Viento moderado,Sin lluvia,Soleado,"Frío, Húmedo, Viento moderado, Sin lluvia, Soleado."
2023-01-17,16.8,21.2,12.5,0.0,4.7,17.5,3.8,55.0,Agradable,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-01-18,12.6,15.0,10.2,0.0,7.8,18.6,7.7,44.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-19,10.6,15.4,5.8,0.0,5.6,13.9,8.4,50.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-20,15.2,18.3,12.0,0.0,5.3,13.9,7.4,65.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-21,15.2,18.5,12.0,0.0,5.3,13.3,8.2,67.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-22,11.9,16.7,7.1,0.0,4.7,12.5,8.2,46.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-23,11.4,15.4,7.4,0.0,5.0,16.9,8.5,40.0,Frío,Seco,Brisa,Sin lluvia,Soleado,"Frío, Seco, Brisa, Sin lluvia, Soleado."
2023-01-24,9.5,14.5,4.5,10.8,5.0,13.3,4.7,64.0,Frío,Húmedo,Brisa,Lluvia notable,Parcialmente soleado,"Frío, Húmedo, Brisa, Lluvia notable, Parcialmente soleado."
2023-01-25,8.8,13.9,3.8,0.0,3.6,8.9,7.2,68.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-26,9.6,13.3,6.0,0.0,5.8,12.8,4.1,46.0,Frío,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Frío, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-01-27,10.8,15.5,6.0,0.0,7.5,15.0,8.6,45.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-28,10.0,15.3,4.8,0.0,3.6,12.8,7.8,46.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-01-29,8.0,15.0,1.1,1.1,5.6,9.7,6.4,69.0,Frío,Húmedo,Brisa,Lluvia notable,Soleado,"Frío, Húmedo, Brisa, Lluvia notable, Soleado."
2023-01-30,10.0,14.7,5.3,0.0,6.4,12.8,5.4,75.0,Frío,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Frío, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-01-31,10.5,16.3,4.7,0.0,3.1,7.2,9.1,65.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-01,8.8,15.7,1.8,0.0,3.3,7.2,9.1,74.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-02,10.1,16.2,4.0,0.0,3.1,7.2,9.0,70.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-03,10.2,17.4,3.1,0.0,3.9,7.2,9.1,71.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-04,11.0,18.5,3.6,0.0,2.8,8.3,9.1,65.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-05,10.2,17.0,3.3,0.0,3.1,7.2,9.3,72.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-06,10.4,16.9,4.0,7.0,4.2,9.2,8.9,74.0,Frío,Húmedo,Brisa,Lluvia notable,Soleado,"Frío, Húmedo, Brisa, Lluvia notable, Soleado."
2023-02-07,11.2,13.9,8.5,31.1,8.3,14.4,0.0,82.0,Frío,Húmedo,Brisa,Lluvia notable,Nublado,"Frío, Húmedo, Brisa, Lluvia notable, Nublado."
2023-02-08,12.2,14.3,10.1,14.2,5.6,15.0,0.0,82.0,Frío,Húmedo,Brisa,Lluvia notable,Nublado,"Frío, Húmedo, Brisa, Lluvia notable, Nublado."
2023-02-09,14.3,15.7,12.9,0.05,6.9,16.1,1.4,67.0,Frío,Húmedo,Brisa,Lluvia ligera,Nublado,"Frío, Húmedo, Brisa, Lluvia ligera, Nublado."
2023-02-10,13.2,14.1,12.2,0.0,12.8,23.3,3.7,56.0,Frío,Húmedo,Viento moderado,Sin lluvia,Parcialmente soleado,"Frío, Húmedo, Viento moderado, Sin lluvia, Parcialmente soleado."
2023-02-11,14.2,15.9,12.5,0.0,10.6,21.1,7.2,58.0,Frío,Húmedo,Viento moderado,Sin lluvia,Soleado,"Frío, Húmedo, Viento moderado, Sin lluvia, Soleado."
2023-02-12,13.2,17.6,8.8,0.0,6.4,12.5,7.5,66.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-13,12.7,17.3,8.1,0.0,5.0,12.8,5.8,75.0,Frío,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Frío, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-02-14,14.0,17.7,10.2,0.0,5.8,13.3,1.0,73.0,Frío,Húmedo,Brisa,Sin lluvia,Nublado,"Frío, Húmedo, Brisa, Sin lluvia, Nublado."
2023-02-15,14.2,18.1,10.2,0.0,3.1,9.2,1.4,73.0,Frío,Húmedo,Brisa,Sin lluvia,Nublado,"Frío, Húmedo, Brisa, Sin lluvia, Nublado."
2023-02-16,13.3,18.8,7.8,0.0,3.9,8.9,9.1,72.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-17,12.4,16.0,8.9,1.6,6.7,18.1,0.1,77.0,Frío,Húmedo,Brisa,Lluvia notable,Nublado,"Frío, Húmedo, Brisa, Lluvia notable, Nublado."
2023-02-18,15.4,19.1,11.7,0.0,3.6,10.3,7.4,68.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-19,14.8,18.9,10.7,0.0,3.1,7.2,6.2,72.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-20,14.8,19.4,10.3,0.05,2.8,8.3,6.4,67.0,Frío,Húmedo,Brisa,Lluvia ligera,Soleado,"Frío, Húmedo, Brisa, Lluvia ligera, Soleado."
2023-02-21,14.8,19.3,10.3,0.0,3.1,10.8,8.2,78.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-22,15.8,22.1,9.4,0.0,3.6,8.3,9.0,64.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-23,14.6,20.5,8.8,0.0,4.4,12.8,8.3,55.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-24,12.8,17.2,8.3,1.1,5.0,12.8,7.2,28.0,Frío,Seco,Brisa,Lluvia notable,Soleado,"Frío, Seco, Brisa, Lluvia notable, Soleado."
2023-02-25,11.6,16.3,6.8,0.0,3.6,11.4,7.2,57.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-26,12.8,17.3,8.3,0.0,4.4,11.7,7.0,56.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-27,13.5,17.0,10.0,0.0,5.6,15.0,9.6,42.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-02-28,12.0,17.6,6.3,0.0,5.6,15.0,9.8,28.0,Frío,Seco,Brisa,Sin lluvia,Soleado,"Frío, Seco, Brisa, Sin lluvia, Soleado."
2023-03-01,10.7,18.2,3.2,0.0,3.6,9.7,10.4,41.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-02,11.3,17.7,4.9,0.0,4.7,11.7,10.6,32.0,Frío,Seco,Brisa,Sin lluvia,Soleado,"Frío, Seco, Brisa, Sin lluvia, Soleado."
2023-03-03,10.0,17.3,2.8,0.0,3.9,8.9,10.5,55.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-04,12.4,16.6,8.1,0.0,3.6,9.2,4.9,64.0,Frío,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Frío, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-03-05,11.4,16.7,6.2,0.1,3.3,7.2,1.4,73.0,Frío,Húmedo,Brisa,Lluvia ligera,Nublado,"Frío, Húmedo, Brisa, Lluvia ligera, Nublado."
2023-03-06,14.4,19.7,9.0,6.9,2.5,7.8,0.9,74.0,Frío,Húmedo,Brisa,Lluvia notable,Nublado,"Frío, Húmedo, Brisa, Lluvia notable, Nublado."
2023-03-07,17.6,22.1,13.1,0.0,3.3,10.8,2.7,62.0,Agradable,Húmedo,Brisa,Sin lluvia,Nublado,"Agradable, Húmedo, Brisa, Sin lluvia, Nublado."
2023-03-08,18.4,24.8,11.9,0.0,3.3,10.3,8.3,67.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-09,20.0,24.9,15.1,0.0,3.9,10.8,3.1,63.0,Agradable,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-03-10,19.9,26.0,13.8,0.0,6.7,14.4,10.5,53.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-11,21.7,26.0,17.4,0.0,10.6,19.7,10.9,53.0,Agradable,Húmedo,Viento moderado,Sin lluvia,Soleado,"Agradable, Húmedo, Viento moderado, Sin lluvia, Soleado."
2023-03-12,19.2,24.0,14.4,0.0,5.0,16.4,10.8,61.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-13,19.8,28.9,10.8,0.0,2.8,15.3,10.6,57.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-14,20.0,25.8,14.3,0.0,5.6,16.9,11.1,49.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-15,15.4,22.1,8.8,0.0,3.6,7.2,11.1,59.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-16,14.8,22.2,7.3,0.0,3.6,7.2,10.0,53.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-17,16.4,24.1,8.8,0.0,4.4,9.7,8.6,53.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-18,18.2,22.3,14.1,0.0,5.8,12.5,7.4,46.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-19,18.0,23.3,12.8,0.0,4.7,10.3,10.8,52.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-20,14.0,19.6,8.4,0.0,3.6,7.8,10.7,74.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-21,13.8,19.3,8.2,0.0,4.7,9.7,10.9,76.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-22,14.2,19.9,8.4,0.0,4.2,9.2,11.2,77.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-23,14.8,21.1,8.5,0.0,3.1,8.3,10.7,65.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-24,19.8,28.4,11.3,0.0,4.2,13.3,10.7,38.0,Agradable,Seco,Brisa,Sin lluvia,Soleado,"Agradable, Seco, Brisa, Sin lluvia, Soleado."
2023-03-25,19.0,24.0,14.0,0.0,3.9,12.5,11.2,66.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-26,21.7,29.4,14.0,0.0,5.8,12.8,10.2,40.0,Agradable,Seco,Brisa,Sin lluvia,Soleado,"Agradable, Seco, Brisa, Sin lluvia, Soleado."
2023-03-27,18.0,22.6,13.4,0.0,3.6,12.8,5.5,44.0,Agradable,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-03-28,14.9,21.1,8.7,0.0,3.6,8.3,11.3,61.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-29,15.4,21.1,9.6,0.0,3.9,8.3,11.1,66.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-30,20.7,31.2,10.2,0.0,2.5,9.7,10.8,46.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-03-31,25.7,31.3,20.1,0.0,7.5,15.0,8.0,32.0,Calor,Seco,Brisa,Sin lluvia,Soleado,"Calor, Seco, Brisa, Sin lluvia, Soleado."
2023-04-01,22.4,27.8,17.1,0.0,6.9,13.9,11.2,42.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-02,18.6,24.5,12.7,0.0,6.4,16.1,11.7,65.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-03,17.0,24.1,9.9,0.0,4.7,8.9,11.5,61.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-04,15.4,18.5,12.2,0.0,3.1,8.9,0.0,75.0,Agradable,Húmedo,Brisa,Sin lluvia,Nublado,"Agradable, Húmedo, Brisa, Sin lluvia, Nublado."
2023-04-05,14.8,20.3,9.3,0.0,4.2,10.3,11.8,68.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-06,16.0,21.2,10.8,0.0,3.9,9.7,9.3,55.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-07,14.2,19.8,8.5,0.0,4.2,8.3,11.9,64.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-08,14.0,21.5,6.4,0.0,5.0,8.3,11.7,66.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-09,15.0,20.6,9.3,0.0,3.6,8.9,11.2,68.0,Frío,Húmedo,Brisa,Sin lluvia,Soleado,"Frío, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-10,23.2,33.7,12.7,0.0,3.9,8.9,11.1,32.0,Agradable,Seco,Brisa,Sin lluvia,Soleado,"Agradable, Seco, Brisa, Sin lluvia, Soleado."
2023-04-11,18.6,22.6,14.6,0.0,3.9,11.4,3.4,65.0,Agradable,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-04-12,22.1,29.7,14.5,0.0,7.5,17.5,10.2,36.0,Agradable,Seco,Brisa,Sin lluvia,Soleado,"Agradable, Seco, Brisa, Sin lluvia, Soleado."
2023-04-13,21.0,26.5,15.4,0.0,6.9,13.9,11.4,35.0,Agradable,Seco,Brisa,Sin lluvia,Soleado,"Agradable, Seco, Brisa, Sin lluvia, Soleado."
2023-04-14,22.6,29.2,16.1,0.0,6.1,15.3,11.1,28.0,Agradable,Seco,Brisa,Sin lluvia,Soleado,"Agradable, Seco, Brisa, Sin lluvia, Soleado."
2023-04-15,23.0,27.8,18.1,0.0,5.8,16.9,12.2,44.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-16,19.4,24.2,14.7,0.0,3.9,10.3,12.2,67.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-17,15.7,20.6,10.8,0.0,4.4,9.2,12.0,68.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-18,16.0,21.5,10.4,0.0,3.9,8.3,12.3,63.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-19,17.2,20.9,13.4,0.05,3.9,9.2,3.1,65.0,Agradable,Húmedo,Brisa,Lluvia ligera,Parcialmente soleado,"Agradable, Húmedo, Brisa, Lluvia ligera, Parcialmente soleado."
2023-04-20,16.6,22.3,11.0,0.0,5.0,10.8,11.8,63.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-21,18.6,26.5,10.7,0.0,4.7,12.5,11.4,51.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-22,21.3,27.8,14.8,0.05,3.6,10.3,7.0,53.0,Agradable,Húmedo,Brisa,Lluvia ligera,Soleado,"Agradable, Húmedo, Brisa, Lluvia ligera, Soleado."
2023-04-23,21.8,26.8,16.9,0.0,5.8,11.4,11.9,41.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-24,19.6,25.5,13.7,0.0,3.3,8.3,12.4,55.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-25,21.2,28.3,14.0,0.0,4.2,11.4,12.4,61.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-26,20.8,26.0,15.5,0.0,2.8,8.3,12.5,67.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-27,19.8,24.5,15.0,0.0,2.8,7.8,9.9,70.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-04-28,21.6,26.7,16.6,0.0,5.0,8.9,5.7,51.0,Agradable,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-04-29,26.5,34.3,18.7,0.0,4.7,14.4,8.5,36.0,Calor,Seco,Brisa,Sin lluvia,Soleado,"Calor, Seco, Brisa, Sin lluvia, Soleado."
2023-04-30,23.0,27.7,18.2,0.0,3.6,10.3,3.5,54.0,Agradable,Húmedo,Brisa,Sin lluvia,Parcialmente soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Parcialmente soleado."
2023-05-01,20.4,24.3,16.5,0.0,3.6,7.2,12.5,73.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-02,21.0,26.5,15.6,0.0,2.5,7.2,10.6,56.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-03,20.6,25.4,15.8,0.0,3.3,8.3,9.1,53.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-04,20.4,26.8,13.9,0.0,3.9,8.3,9.2,69.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-05,19.6,23.9,15.4,0.0,3.6,8.9,11.5,76.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-06,20.7,25.9,15.5,0.0,4.2,12.5,10.8,65.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-07,23.0,27.2,18.9,0.0,6.1,12.5,12.7,64.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-08,21.0,24.2,17.8,0.0,4.2,8.3,9.1,78.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-09,23.4,29.7,17.0,0.0,3.6,9.2,9.6,81.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-10,23.0,27.0,19.1,0.0,3.6,11.7,12.6,59.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-11,20.8,24.4,17.3,0.0,3.6,8.9,11.4,73.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-12,20.4,24.1,16.6,0.0,4.4,10.3,9.3,74.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-13,19.0,22.1,15.9,0.0,4.4,14.4,9.5,64.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-14,19.8,25.5,14.1,0.0,4.4,10.3,11.9,60.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-15,24.0,32.0,15.9,0.0,4.7,12.5,13.0,23.0,Agradable,Seco,Brisa,Sin lluvia,Soleado,"Agradable, Seco, Brisa, Sin lluvia, Soleado."
2023-05-16,22.0,26.2,17.8,0.0,5.3,11.4,11.7,45.0,Agradable,Húmedo,Brisa,Sin lluvia,Soleado,"Agradable, Húmedo, Brisa, Sin lluvia, Soleado."
2023-05-17,20.1,23.0,17.2,0.0,2.8,8.3,0.8,64.0,Agradable,Húmedo,Brisa,Sin lluvia,Nublado,"Agradable, Húmedo, Brisa, Sin lluvia, Nublado."
2023-05-18,18.0,22.3,13.7,13.3,4.7,15.0,1.2,75.0,Agradable,Húmedo,Brisa,Lluvia notable,Nublado,"Agradable, Húmedo, Brisa, Lluvia notable, Nublado."
2023-05-19,17.8,23.9,11.7,13.5,5.3,12.8,5.6,75.0,Agradable,Húmedo,Brisa,Lluvia notable,Parcialmente soleado,"Agradable, Húmedo, Brisa, Lluvia notable, Parcialmente soleado."
